Gene,Non-unique Gene name,Annotation,CAI_ATCC_49725,CAI_ATCC_49726,CAI_BKPL_MKS099,CAI_BKPL_MSK070,CAI_BKPL_MSK091,CAI_BKPL_MSK096,CAI_BKPL_MSK109,CAI_BKPL_MSK121,CAI_BKPL_MSK125,CAI_BKPL_MSK161,CAI_BKPL_MSK270,CAI_BKPL_MSK273,CAI_DS_CA1,CAI_DS_CA2,CAI_DS_CA3,CAI_DS_CA4,CAI_DS_CA5,CAI_DS_CA6,CAI_DS_CA8,CAI_DS_CA9,CAI_KPL_079,CAI_KPL_1818,CAI_KPL_1824,CAI_KPL_1986,CAI_KPL_1996,CAI_KPL_1998,CAI_KPL_2004,CAI_KPL_2617,CAI_KPL_2618,CAI_KPL_2641,CAI_KPL_2652,CAI_KPL_2660,CAI_KPL_2783,CAI_KPL_2859,CAI_KPL_3647,CAI_KPL_3674,CAI_KPL_3703,CAI_KPL_3774,CAI_KPL_3802,CAI_KPL_3832,CAI_KPL_3921,CAI_KPL_3926,CAI_KPL_3970,CAI_KPL_4034,CAI_KPL_4065,CAI_KPL_4075,CAI_KPL_MKS076,CAI_KPL_MSK075,CAI_KPL_MSK077,CAI_LRK_p3_SID1129,CAI_MAM_C779,CAI_MAM_C781,CAI_MAM_C787,CAI_SDB_Cl5570,CAI_SDB_Cl6012,CAI_SH_157,CAI_SH_192,CAI_SH_219,CAI_SH_23,CAI_SH_247,CAI_SH_281,CAI_SH_41,CAI_strain_NCTC934,CAII_SH_79,CAII_SH_98,CAII_DS_CA7,CAII_SDB_CI5886,CAII_SH_184,CAIII_KPL_1855,CAIII_SH_262,CAIV_SDB_Cl5456,CM_strain_06T638,CM_strain_12T220,CM_strain_12T66,CM_strain_14T168,CM_strain_14T424,CM_strain_14T514,CM_strain_14T631,CM_strain_150801,CM_strain_151011,CM_strain_160430,CM_strain_160603,CM_strain_160806,CM_strain_160811,CM_strain_160812,CM_strain_161211,CM_strain_170718,CM_strain_171015,CM_strain_171203,CM_strain_180126,CM_strain_180208,CM_strain_180216,CM_strain_9T245,CM_strain_CCUG_32361,CM_strain_NML_080212,CM_strain_NML_120205
lacC~~~pfkB,lacC;pfkB,Tagatose-6-phosphate kinase;ATP-dependent 6-phosphofructokinase isozyme 2,BHJAACOI_01254,HKMEEOOC_01513,GENJCMKD_01291,GGNGMLNM_00366,FLPOMCPC_01158,FLNKFIAL_01138,GCMCGMEO_01168,KKDHGCNG_00884,KEENHLLD_01051,JLFNHPIJ_00253,CODCKMBH_00236,KIHHBJFA_00608,NANKJKFF_00468,CCGNCHJI_00099,GOFIAKIM_00217,DGCFMGAJ_00159,AACCAIGM_00256,GMEDNMEP_00280,FLLDPPMF_00050,LNLCNHAK_00246,KNGAMNHF_00804,LKGNFBEP_01686,KICAILHA_01586,MCNPKDLJ_00734,AACNPDCK_01563,GMLEFHEO_01093,KFNCPDAP_01356,IGDBGLLD_01112,OMFMOMKF_01887,HODLAEJM_00861,AFHPBIAF_00777,LHCGKHIJ_01211,AJEFBAEL_00670,OCDCHEMI_01037,CJKJNNNG_01104,EIGELMEO_01358,NGNHBKMG_00209,MEOJENFF_01548,KEGECLGJ_01260,AHOPDIHB_01168,CJININDG_00824,NDOGBOAP_00443,OAPFOPAL_00558,ACJGFGPL_00707,JGGIPLAJ_01273,PLGHJMOG_01713,LJBGMHMC_00672,DKGGAEON_00512,LIONBGAB_00666,BCBJMMFG_00161,FNKBOAAJ_00640,NBIGHBNP_00799,ABCKMHNF_00418,HAGCGINO_01889,HDNBEOBM_00760,CHKDFDKC_01427,FJKFCLGL_01475,BOLJFBOD_01442,KGEDCIMK_00840,OGANKOBH_01471,KHIGLMDP_00338,KCBPFIDL_02395,PGGCOMJD_01386,LDPIAJMB_01443,JHDPCHFA_01508,PGMBCLCL_00783,LEOIACCC_00240,OGHHNOBM_00722,HLJAHNNN_00523,HMAEAGFH_00779,JMBHJBPL_00196,LIOCNLML_01722,MMNKDKJC_01798,CIPIHPAA_00682,OHJNIDKA_00733,IHELPHKG_01432,JBLCIMDH_00945,OFEFOHCO_01337,BJBHHKKH_00753,HCNPNPGF_02350,BHFJFGML_01621,CCMCAHCO_02332,MLMKMFAK_01313,FMPCHCOO_00787,KDJAJFCO_02163,OHHPPKJL_01418,BADHAMCG_01087,DDALPCGJ_00042,HHABANBK_00485,IBMNCEGB_00552,OHPNAJOO_00050,CHPLCDPL_00215,EAOLOMHJ_00338,EKOBKANM_00536,DIAOIDPF_00375,IIDBPGJP_00155
benM,benM,HTH-type transcriptional regulator BenM,BHJAACOI_00837,HKMEEOOC_01935,GENJCMKD_02361,GGNGMLNM_02173,FLPOMCPC_01722,FLNKFIAL_01637,GCMCGMEO_00403,KKDHGCNG_00457,KEENHLLD_00169,JLFNHPIJ_00681,CODCKMBH_00722,KIHHBJFA_02199,NANKJKFF_00884,CCGNCHJI_00814,GOFIAKIM_00815,DGCFMGAJ_01572,AACCAIGM_01910,GMEDNMEP_01770,FLLDPPMF_01765,LNLCNHAK_02245,KNGAMNHF_02351,LKGNFBEP_01257,KICAILHA_02042,MCNPKDLJ_01202,AACNPDCK_02031,GMLEFHEO_01560,KFNCPDAP_00887,IGDBGLLD_01904,OMFMOMKF_00859,HODLAEJM_00169,AFHPBIAF_01005,LHCGKHIJ_02299,AJEFBAEL_02193,OCDCHEMI_01690,CJKJNNNG_02137,EIGELMEO_01985,NGNHBKMG_00029,MEOJENFF_00170,KEGECLGJ_02317,AHOPDIHB_00034,CJININDG_01307,NDOGBOAP_00335,OAPFOPAL_01153,ACJGFGPL_00314,JGGIPLAJ_00932,PLGHJMOG_01941,LJBGMHMC_02085,DKGGAEON_00088,LIONBGAB_02085,BCBJMMFG_02059,FNKBOAAJ_01777,NBIGHBNP_01823,ABCKMHNF_01990,HAGCGINO_00280,HDNBEOBM_00227,CHKDFDKC_01855,FJKFCLGL_01900,BOLJFBOD_01865,KGEDCIMK_01932,OGANKOBH_01898,KHIGLMDP_01962,KCBPFIDL_01971,PGGCOMJD_01796,LDPIAJMB_01904,JHDPCHFA_02001,PGMBCLCL_00598,LEOIACCC_02096,OGHHNOBM_01167,HLJAHNNN_00075,HMAEAGFH_00064,JMBHJBPL_01950,LIOCNLML_02182,MMNKDKJC_01419,CIPIHPAA_01278,OHJNIDKA_02175,IHELPHKG_01756,JBLCIMDH_00407,OFEFOHCO_01793,BJBHHKKH_00257,HCNPNPGF_02144,BHFJFGML_01123,CCMCAHCO_02193,MLMKMFAK_02317,FMPCHCOO_00453,KDJAJFCO_01314,OHHPPKJL_02242,BADHAMCG_01942,DDALPCGJ_02193,HHABANBK_00380,IBMNCEGB_01570,OHPNAJOO_00869,CHPLCDPL_01491,EAOLOMHJ_01729,EKOBKANM_00126,DIAOIDPF_00030,IIDBPGJP_00688
ald,ald,Alanine dehydrogenase,BHJAACOI_00843,HKMEEOOC_01929,GENJCMKD_02367,GGNGMLNM_02167,FLPOMCPC_01716,FLNKFIAL_01643,GCMCGMEO_00409,KKDHGCNG_00463,KEENHLLD_00163,JLFNHPIJ_00675,CODCKMBH_00716,KIHHBJFA_02205,NANKJKFF_00878,CCGNCHJI_00808,GOFIAKIM_00809,DGCFMGAJ_01566,AACCAIGM_01904,GMEDNMEP_01776,FLLDPPMF_01771,LNLCNHAK_02239,KNGAMNHF_02357,LKGNFBEP_01263,KICAILHA_02036,MCNPKDLJ_01196,AACNPDCK_02025,GMLEFHEO_01554,KFNCPDAP_00893,IGDBGLLD_01910,OMFMOMKF_00853,HODLAEJM_00175,AFHPBIAF_01011,LHCGKHIJ_02293,AJEFBAEL_02187,OCDCHEMI_01696,CJKJNNNG_02143,EIGELMEO_01991,NGNHBKMG_00023,MEOJENFF_00164,KEGECLGJ_02323,AHOPDIHB_00028,CJININDG_01301,NDOGBOAP_00329,OAPFOPAL_01159,ACJGFGPL_00320,JGGIPLAJ_00926,PLGHJMOG_01947,LJBGMHMC_02091,DKGGAEON_00094,LIONBGAB_02091,BCBJMMFG_02065,FNKBOAAJ_01783,NBIGHBNP_01829,ABCKMHNF_01996,HAGCGINO_00286,HDNBEOBM_01206,CHKDFDKC_01848,FJKFCLGL_01894,BOLJFBOD_01859,KGEDCIMK_01926,OGANKOBH_01892,KHIGLMDP_01968,KCBPFIDL_01977,PGGCOMJD_01790,LDPIAJMB_01898,JHDPCHFA_01995,PGMBCLCL_00592,LEOIACCC_02102,OGHHNOBM_01161,HLJAHNNN_00081,HMAEAGFH_00070,JMBHJBPL_01956,LIOCNLML_02176,MMNKDKJC_01413,CIPIHPAA_01272,OHJNIDKA_02169,IHELPHKG_01750,JBLCIMDH_00413,OFEFOHCO_01787,BJBHHKKH_00263,HCNPNPGF_02138,BHFJFGML_01117,CCMCAHCO_02199,MLMKMFAK_02311,FMPCHCOO_00447,KDJAJFCO_01320,OHHPPKJL_02248,BADHAMCG_01936,DDALPCGJ_02199,HHABANBK_00374,IBMNCEGB_01576,OHPNAJOO_00863,CHPLCDPL_01485,EAOLOMHJ_01735,EKOBKANM_00120,DIAOIDPF_00024,IIDBPGJP_00682
group_2431,,hypothetical protein,BHJAACOI_01018,HKMEEOOC_01752,GENJCMKD_01428,GGNGMLNM_00600,FLPOMCPC_00435,FLNKFIAL_00399,GCMCGMEO_00360,KKDHGCNG_00639,KEENHLLD_00795,JLFNHPIJ_00496,CODCKMBH_00480,KIHHBJFA_00844,NANKJKFF_02154,CCGNCHJI_02172,GOFIAKIM_02079,DGCFMGAJ_01744,AACCAIGM_00020,GMEDNMEP_00515,FLLDPPMF_02060,LNLCNHAK_00010,KNGAMNHF_00593,LKGNFBEP_01450,KICAILHA_01831,MCNPKDLJ_00976,AACNPDCK_01805,GMLEFHEO_01335,KFNCPDAP_01113,IGDBGLLD_00269,OMFMOMKF_00679,HODLAEJM_00589,AFHPBIAF_00256,LHCGKHIJ_01996,AJEFBAEL_01881,OCDCHEMI_00098,CJKJNNNG_02265,EIGELMEO_02177,NGNHBKMG_00867,MEOJENFF_01822,KEGECLGJ_01942,AHOPDIHB_01360,CJININDG_00313,NDOGBOAP_00599,OAPFOPAL_01321,ACJGFGPL_00216,JGGIPLAJ_01034,PLGHJMOG_00229,LJBGMHMC_00438,DKGGAEON_00267,LIONBGAB_00432,BCBJMMFG_01379,FNKBOAAJ_02277,NBIGHBNP_00564,ABCKMHNF_01109,HAGCGINO_00499,HDNBEOBM_01381,CHKDFDKC_01675,FJKFCLGL_01711,BOLJFBOD_01679,KGEDCIMK_01533,OGANKOBH_01708,KHIGLMDP_00103,KCBPFIDL_02178,PGGCOMJD_01621,LDPIAJMB_01685,JHDPCHFA_01752,PGMBCLCL_01291,LEOIACCC_01311,OGHHNOBM_00965,HLJAHNNN_00277,HMAEAGFH_00245,JMBHJBPL_01882,LIOCNLML_02286,MMNKDKJC_00203,CIPIHPAA_01458,OHJNIDKA_02267,IHELPHKG_00725,JBLCIMDH_00117,OFEFOHCO_00420,BJBHHKKH_01156,HCNPNPGF_00530,BHFJFGML_00693,CCMCAHCO_01296,MLMKMFAK_01023,FMPCHCOO_01160,KDJAJFCO_00911,OHHPPKJL_01062,BADHAMCG_01690,DDALPCGJ_01203,HHABANBK_02140,IBMNCEGB_02250,OHPNAJOO_00963,CHPLCDPL_01234,EAOLOMHJ_00771,EKOBKANM_01103,DIAOIDPF_01256,IIDBPGJP_01268
group_2430,prmC_2;prmC_1;,Release factor glutamine methyltransferase;hypothetical protein,BHJAACOI_01275,HKMEEOOC_01490,GENJCMKD_01270,GGNGMLNM_00345,FLPOMCPC_01179,FLNKFIAL_01117,GCMCGMEO_01147,KKDHGCNG_00905,KEENHLLD_01072,JLFNHPIJ_00232,CODCKMBH_00215,KIHHBJFA_00586,NANKJKFF_00447,CCGNCHJI_00078,GOFIAKIM_00238,DGCFMGAJ_00138,AACCAIGM_00277,GMEDNMEP_00259,FLLDPPMF_00029,LNLCNHAK_00267,KNGAMNHF_00783,LKGNFBEP_01707,KICAILHA_01565,MCNPKDLJ_00713,AACNPDCK_01542,GMLEFHEO_01072,KFNCPDAP_01377,IGDBGLLD_01091,OMFMOMKF_01908,HODLAEJM_00882,AFHPBIAF_00798,LHCGKHIJ_01232,AJEFBAEL_00649,OCDCHEMI_01016,CJKJNNNG_01083,EIGELMEO_01379,NGNHBKMG_00188,MEOJENFF_01527,KEGECLGJ_01239,AHOPDIHB_01147,CJININDG_00845,NDOGBOAP_00422,OAPFOPAL_00537,ACJGFGPL_00686,JGGIPLAJ_01294,PLGHJMOG_01692,LJBGMHMC_00693,DKGGAEON_00533,LIONBGAB_00687,BCBJMMFG_00140,FNKBOAAJ_00661,NBIGHBNP_00820,ABCKMHNF_00439,HAGCGINO_01581,HDNBEOBM_02128,CHKDFDKC_01406,FJKFCLGL_01454,BOLJFBOD_01421,KGEDCIMK_00861,OGANKOBH_01450,KHIGLMDP_00359,KCBPFIDL_02374,PGGCOMJD_01365,LDPIAJMB_01421;LDPIAJMB_01422,JHDPCHFA_01487,PGMBCLCL_00804,LEOIACCC_00261;LEOIACCC_00262,OGHHNOBM_00700;OGHHNOBM_00701,HLJAHNNN_00544,HMAEAGFH_00800,JMBHJBPL_00217,LIOCNLML_02226,MMNKDKJC_01777,CIPIHPAA_00703,OHJNIDKA_00710,IHELPHKG_01453,JBLCIMDH_00966,OFEFOHCO_01358,BJBHHKKH_00774,HCNPNPGF_00582,BHFJFGML_01600,CCMCAHCO_01981,MLMKMFAK_01292,FMPCHCOO_00766,KDJAJFCO_02142,OHHPPKJL_01397,BADHAMCG_01108,DDALPCGJ_00063,HHABANBK_00464,IBMNCEGB_00573,OHPNAJOO_00029,CHPLCDPL_00238,EAOLOMHJ_00317,EKOBKANM_00515,DIAOIDPF_00396,IIDBPGJP_00176
sigA,sigA,RNA polymerase sigma factor SigA,BHJAACOI_01279,HKMEEOOC_01486,GENJCMKD_01266,GGNGMLNM_00341,FLPOMCPC_01183,FLNKFIAL_01113,GCMCGMEO_01143,KKDHGCNG_00909,KEENHLLD_01076,JLFNHPIJ_00228,CODCKMBH_00211,KIHHBJFA_00582,NANKJKFF_00443,CCGNCHJI_00074,GOFIAKIM_00242,DGCFMGAJ_00134,AACCAIGM_00281,GMEDNMEP_00255,FLLDPPMF_00025,LNLCNHAK_00271,KNGAMNHF_00779,LKGNFBEP_01711,KICAILHA_01561,MCNPKDLJ_00709,AACNPDCK_01538,GMLEFHEO_01068,KFNCPDAP_01381,IGDBGLLD_01087,OMFMOMKF_01912,HODLAEJM_00886,AFHPBIAF_00805,LHCGKHIJ_01236,AJEFBAEL_00645,OCDCHEMI_01012,CJKJNNNG_01079,EIGELMEO_01383,NGNHBKMG_00184,MEOJENFF_01523,KEGECLGJ_01235,AHOPDIHB_01143,CJININDG_00849,NDOGBOAP_00418,OAPFOPAL_00533,ACJGFGPL_00682,JGGIPLAJ_01298,PLGHJMOG_01688,LJBGMHMC_00697,DKGGAEON_00537,LIONBGAB_00691,BCBJMMFG_00136,FNKBOAAJ_00665,NBIGHBNP_00824,ABCKMHNF_00443,HAGCGINO_01585,HDNBEOBM_02132,CHKDFDKC_01402,FJKFCLGL_01450,BOLJFBOD_01417,KGEDCIMK_00865,OGANKOBH_01446,KHIGLMDP_00363,KCBPFIDL_02370,PGGCOMJD_01361,LDPIAJMB_01417,JHDPCHFA_01483,PGMBCLCL_00808,LEOIACCC_00266,OGHHNOBM_00696,HLJAHNNN_00551,HMAEAGFH_00807,JMBHJBPL_00221,LIOCNLML_02222,MMNKDKJC_01773,CIPIHPAA_00707,OHJNIDKA_00706,IHELPHKG_01457,JBLCIMDH_00970,OFEFOHCO_01362,BJBHHKKH_00778,HCNPNPGF_00586,BHFJFGML_01596,CCMCAHCO_01977,MLMKMFAK_01288,FMPCHCOO_00762,KDJAJFCO_02138,OHHPPKJL_01393,BADHAMCG_01112,DDALPCGJ_00067,HHABANBK_00460,IBMNCEGB_00577,OHPNAJOO_00025,CHPLCDPL_00242,EAOLOMHJ_00313,EKOBKANM_00511,DIAOIDPF_00400,IIDBPGJP_00180
group_2422,,hypothetical protein,BHJAACOI_02176,HKMEEOOC_01150,GENJCMKD_02071,GGNGMLNM_01250,FLPOMCPC_01344,FLNKFIAL_01549,GCMCGMEO_01424,KKDHGCNG_01924,KEENHLLD_02214,JLFNHPIJ_02112,CODCKMBH_01435,KIHHBJFA_01049,NANKJKFF_00062,CCGNCHJI_01924,GOFIAKIM_01883,DGCFMGAJ_01939,AACCAIGM_01641,GMEDNMEP_00968,FLLDPPMF_01874,LNLCNHAK_00602,KNGAMNHF_01878,LKGNFBEP_02355,KICAILHA_01186,MCNPKDLJ_00355,AACNPDCK_01180,GMLEFHEO_01737,KFNCPDAP_01983,IGDBGLLD_01851,OMFMOMKF_01625,HODLAEJM_01909,AFHPBIAF_00093,LHCGKHIJ_01772,AJEFBAEL_00253,OCDCHEMI_00558,CJKJNNNG_01838,EIGELMEO_00745,NGNHBKMG_01857,MEOJENFF_00948,KEGECLGJ_02437,AHOPDIHB_00731,CJININDG_01788,NDOGBOAP_00726,OAPFOPAL_02277,ACJGFGPL_01743,JGGIPLAJ_01448,PLGHJMOG_01359,LJBGMHMC_01402,DKGGAEON_02108,LIONBGAB_01406,BCBJMMFG_01235,FNKBOAAJ_01415,NBIGHBNP_01152,ABCKMHNF_01232,HAGCGINO_01729,HDNBEOBM_01785,CHKDFDKC_01046,FJKFCLGL_01089,BOLJFBOD_01068,KGEDCIMK_00058,OGANKOBH_01097,KHIGLMDP_01367,KCBPFIDL_00378,PGGCOMJD_01028,LDPIAJMB_01069,JHDPCHFA_01143,PGMBCLCL_00196,LEOIACCC_01491,OGHHNOBM_00358,HLJAHNNN_00887,HMAEAGFH_01709,JMBHJBPL_01160,LIOCNLML_00195,MMNKDKJC_01165,CIPIHPAA_01860,OHJNIDKA_01589,IHELPHKG_00376,JBLCIMDH_02003,OFEFOHCO_00876,BJBHHKKH_02337,HCNPNPGF_01467,BHFJFGML_02007,CCMCAHCO_01490,MLMKMFAK_00390,FMPCHCOO_01432,KDJAJFCO_01115,OHHPPKJL_00888,BADHAMCG_01585,DDALPCGJ_01481,HHABANBK_01992,IBMNCEGB_00213,OHPNAJOO_01813,CHPLCDPL_02290,EAOLOMHJ_02363,EKOBKANM_02061,DIAOIDPF_00496,IIDBPGJP_01445
pmt,pmt,putative dolichyl-phosphate-mannose--protein mannosyltransferase,BHJAACOI_01912,HKMEEOOC_00875,GENJCMKD_01725,GGNGMLNM_01511,FLPOMCPC_00206,FLNKFIAL_00121,GCMCGMEO_01721,KKDHGCNG_02244,KEENHLLD_01393,JLFNHPIJ_01482,CODCKMBH_01700,KIHHBJFA_01307,NANKJKFF_00323,CCGNCHJI_00361,GOFIAKIM_00362,DGCFMGAJ_00478,AACCAIGM_01005,GMEDNMEP_00708,FLLDPPMF_00392,LNLCNHAK_01699,KNGAMNHF_02019,LKGNFBEP_02053,KICAILHA_00928,MCNPKDLJ_00091,AACNPDCK_00915,GMLEFHEO_02001,KFNCPDAP_01719,IGDBGLLD_01593,OMFMOMKF_01100,HODLAEJM_00252,AFHPBIAF_01211,LHCGKHIJ_01625,AJEFBAEL_00121,OCDCHEMI_00818,CJKJNNNG_01954,EIGELMEO_00485,NGNHBKMG_02187,MEOJENFF_02265,KEGECLGJ_01826,AHOPDIHB_00260,CJININDG_02027,NDOGBOAP_01326,OAPFOPAL_02204,ACJGFGPL_00383,JGGIPLAJ_02120,PLGHJMOG_00010,LJBGMHMC_01783,DKGGAEON_01960,LIONBGAB_01786,BCBJMMFG_02292,FNKBOAAJ_01160,NBIGHBNP_01328,ABCKMHNF_00172,HAGCGINO_00824,HDNBEOBM_00501,CHKDFDKC_00782,FJKFCLGL_00830,BOLJFBOD_00808,KGEDCIMK_00333,OGANKOBH_00836,KHIGLMDP_00768,KCBPFIDL_00644,PGGCOMJD_00765,LDPIAJMB_00802,JHDPCHFA_00871,PGMBCLCL_01587,LEOIACCC_00676,OGHHNOBM_00091,HLJAHNNN_01151,HMAEAGFH_00727,JMBHJBPL_00964,LIOCNLML_01224,MMNKDKJC_00566,CIPIHPAA_00204,OHJNIDKA_01916,IHELPHKG_01594,JBLCIMDH_00348,OFEFOHCO_00550,BJBHHKKH_00056,HCNPNPGF_01775,BHFJFGML_00174,CCMCAHCO_00678,MLMKMFAK_00222,FMPCHCOO_01316,KDJAJFCO_01226,OHHPPKJL_01622,BADHAMCG_00797,DDALPCGJ_01394,HHABANBK_00732,IBMNCEGB_01842,OHPNAJOO_00097,CHPLCDPL_01632,EAOLOMHJ_02172,EKOBKANM_01296,DIAOIDPF_01561,IIDBPGJP_01836
cobT,cobT,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,BHJAACOI_01048,HKMEEOOC_01723,GENJCMKD_01458,GGNGMLNM_00571,FLPOMCPC_00282,FLNKFIAL_00198,GCMCGMEO_01941,KKDHGCNG_00668,KEENHLLD_00765,JLFNHPIJ_00467,CODCKMBH_00451,KIHHBJFA_00814,NANKJKFF_00673,CCGNCHJI_00304,GOFIAKIM_00011,DGCFMGAJ_00372,AACCAIGM_00050,GMEDNMEP_00485,FLLDPPMF_02089,LNLCNHAK_00039,KNGAMNHF_00564,LKGNFBEP_01479,KICAILHA_01802,MCNPKDLJ_00947,AACNPDCK_01776,GMLEFHEO_01306,KFNCPDAP_01142,IGDBGLLD_00240,OMFMOMKF_00453,HODLAEJM_00653,AFHPBIAF_00563,LHCGKHIJ_00996,AJEFBAEL_01068,OCDCHEMI_01244,CJKJNNNG_02235,EIGELMEO_01150,NGNHBKMG_00694,MEOJENFF_00509,KEGECLGJ_01470,AHOPDIHB_00422,CJININDG_00617,NDOGBOAP_00946,OAPFOPAL_01101,ACJGFGPL_01459,JGGIPLAJ_01063,PLGHJMOG_00258,LJBGMHMC_00467,DKGGAEON_00296,LIONBGAB_00461,BCBJMMFG_01350,FNKBOAAJ_00433,NBIGHBNP_00593,ABCKMHNF_01138,HAGCGINO_02218,HDNBEOBM_01591,CHKDFDKC_01646,FJKFCLGL_01682,BOLJFBOD_01649,KGEDCIMK_01504,OGANKOBH_01678,KHIGLMDP_00132,KCBPFIDL_02207,PGGCOMJD_01592,LDPIAJMB_01656,JHDPCHFA_01723,PGMBCLCL_01320,LEOIACCC_01078,OGHHNOBM_00935,HLJAHNNN_00306,HMAEAGFH_00274,JMBHJBPL_02121,LIOCNLML_02258,MMNKDKJC_00175,CIPIHPAA_01486,OHJNIDKA_02239,IHELPHKG_00753,JBLCIMDH_00145,OFEFOHCO_00392,BJBHHKKH_01184,HCNPNPGF_00558,BHFJFGML_00721,CCMCAHCO_01523,MLMKMFAK_00995,FMPCHCOO_01132,KDJAJFCO_00939,OHHPPKJL_01090,BADHAMCG_01718,DDALPCGJ_01231,HHABANBK_02112,IBMNCEGB_01547,OHPNAJOO_00991,CHPLCDPL_01263,EAOLOMHJ_01693,EKOBKANM_01075,DIAOIDPF_01284,IIDBPGJP_01240
ctaC,ctaC,Cytochrome c oxidase subunit 2,BHJAACOI_01052,HKMEEOOC_01719,GENJCMKD_01462,GGNGMLNM_00567,FLPOMCPC_00278,FLNKFIAL_00194,GCMCGMEO_01937,KKDHGCNG_00672,KEENHLLD_00761,JLFNHPIJ_00463,CODCKMBH_00447,KIHHBJFA_00810,NANKJKFF_00669,CCGNCHJI_00300,GOFIAKIM_00015,DGCFMGAJ_00368,AACCAIGM_00054,GMEDNMEP_00481,FLLDPPMF_02093,LNLCNHAK_00043,KNGAMNHF_00560,LKGNFBEP_01483,KICAILHA_01798,MCNPKDLJ_00943,AACNPDCK_01772,GMLEFHEO_01302,KFNCPDAP_01146,IGDBGLLD_00236,OMFMOMKF_00449,HODLAEJM_00657,AFHPBIAF_00567,LHCGKHIJ_01000,AJEFBAEL_01064,OCDCHEMI_01240,CJKJNNNG_02231,EIGELMEO_01154,NGNHBKMG_00698,MEOJENFF_00513,KEGECLGJ_01466,AHOPDIHB_00418,CJININDG_00621,NDOGBOAP_00950,OAPFOPAL_01105,ACJGFGPL_01463,JGGIPLAJ_01067,PLGHJMOG_00262,LJBGMHMC_00471,DKGGAEON_00300,LIONBGAB_00465,BCBJMMFG_01346,FNKBOAAJ_00437,NBIGHBNP_00597,ABCKMHNF_01142,HAGCGINO_02109,HDNBEOBM_01595,CHKDFDKC_01642,FJKFCLGL_01678,BOLJFBOD_01645,KGEDCIMK_01500,OGANKOBH_01674,KHIGLMDP_00136,KCBPFIDL_02211,PGGCOMJD_01588,LDPIAJMB_01652,JHDPCHFA_01719,PGMBCLCL_01324,LEOIACCC_01074,OGHHNOBM_00931,HLJAHNNN_00310,HMAEAGFH_00278,JMBHJBPL_02117,LIOCNLML_02254,MMNKDKJC_00171,CIPIHPAA_01490,OHJNIDKA_02235,IHELPHKG_00757,JBLCIMDH_00149,OFEFOHCO_00388,BJBHHKKH_01188,HCNPNPGF_00562,BHFJFGML_00725,CCMCAHCO_01527,MLMKMFAK_00991,FMPCHCOO_01128,KDJAJFCO_00943,OHHPPKJL_01094,BADHAMCG_01722,DDALPCGJ_01235,HHABANBK_02108,IBMNCEGB_02061,OHPNAJOO_00995,CHPLCDPL_01267,EAOLOMHJ_01697,EKOBKANM_01071,DIAOIDPF_01288,IIDBPGJP_01236
lpd,lpd,Dihydrolipoyl dehydrogenase,BHJAACOI_00335,HKMEEOOC_00326,GENJCMKD_00625,GGNGMLNM_01181,FLPOMCPC_00155,FLNKFIAL_00070,GCMCGMEO_02179,KKDHGCNG_01773,KEENHLLD_02010,JLFNHPIJ_01882,CODCKMBH_00895,KIHHBJFA_02109,NANKJKFF_02080,CCGNCHJI_02107,GOFIAKIM_02050,DGCFMGAJ_01374,AACCAIGM_01070,GMEDNMEP_02161,FLLDPPMF_01507,LNLCNHAK_01294,KNGAMNHF_00006,LKGNFBEP_00749,KICAILHA_00374,MCNPKDLJ_01982,AACNPDCK_00361,GMLEFHEO_00464,KFNCPDAP_00360,IGDBGLLD_00897,OMFMOMKF_02297,HODLAEJM_01761,AFHPBIAF_02244,LHCGKHIJ_00009,AJEFBAEL_01025,OCDCHEMI_02044,CJKJNNNG_00117,EIGELMEO_00883,NGNHBKMG_02105,MEOJENFF_02005,KEGECLGJ_02242,AHOPDIHB_02063,CJININDG_02213,NDOGBOAP_01857,OAPFOPAL_00942,ACJGFGPL_01167,JGGIPLAJ_00221,PLGHJMOG_02131,LJBGMHMC_01930,DKGGAEON_01236,LIONBGAB_01921,BCBJMMFG_00630,FNKBOAAJ_01977,NBIGHBNP_00442,ABCKMHNF_01703,HAGCGINO_00418,HDNBEOBM_02250,CHKDFDKC_00246,FJKFCLGL_00276,BOLJFBOD_00276,KGEDCIMK_01134,OGANKOBH_00282,KHIGLMDP_01800,KCBPFIDL_01206,PGGCOMJD_00240,LDPIAJMB_00276,JHDPCHFA_00269,PGMBCLCL_01469,LEOIACCC_00457,OGHHNOBM_01873,HLJAHNNN_01623,HMAEAGFH_01213,JMBHJBPL_02007,LIOCNLML_01501,MMNKDKJC_00419,CIPIHPAA_02224,OHJNIDKA_01454,IHELPHKG_00678,JBLCIMDH_01267,OFEFOHCO_01026,BJBHHKKH_01726,HCNPNPGF_00834,BHFJFGML_00853,CCMCAHCO_00751,MLMKMFAK_01584,FMPCHCOO_00143,KDJAJFCO_01401,OHHPPKJL_00519,BADHAMCG_02297,DDALPCGJ_00203,HHABANBK_01310,IBMNCEGB_00984,OHPNAJOO_02036,CHPLCDPL_00958,EAOLOMHJ_02053,EKOBKANM_01009,DIAOIDPF_00661,IIDBPGJP_00434
